text,label
python machine learning pandas numpy scikit-learn sql git built classification model,1
python machine learning nlp pandas scikit-learn sql developed prediction system,1
python java sql git rest api developed backend application,1
machine learning python tensorflow pandas numpy created model,1
python pandas numpy scikit-learn data analysis sql,1
html css javascript react sql built web application,1
python fastapi docker aws sql rest api,1
python cybersecurity linux git network security,1
marketing sales communication social media campaign,0
graphic design photoshop illustrator branding,0
customer service communication retail operations,0
accounting finance taxation bookkeeping,0
mechanical engineering cad manufacturing thermodynamics,0
biology chemistry laboratory research genetics,0
civil engineering autocad structural construction,0
human resources recruitment payroll employee relations,0
content writing journalism editing publishing,0
hotel management hospitality food service,0
fashion design textiles merchandising,0
law legal research compliance contracts,0
machine learning python pandas,1
python sql git,1
java spring sql docker,1
react javascript html css,1
python numpy tensorflow deep learning,1
dance music choreography performance,0
history geography political science,0
psychology counseling sociology,0
medicine nursing clinical care,0
architecture building design,0
